Date,Open,High,Low,Close,Adj Close,Volume
2018-06-11,84.410004,84.540001,83.790001,84.300003,82.912186,6252300
2018-06-12,84.320000,84.589996,83.470001,84.099998,82.715485,8061700
2018-06-13,83.889999,84.370003,83.849998,84.089996,82.705643,6358400
2018-06-14,84.220001,84.809998,83.669998,83.790001,82.410583,7517400
2018-06-15,83.500000,83.989998,83.059998,83.699997,82.322067,12503000
2018-06-18,83.050003,83.570000,82.820000,83.000000,81.633591,8502300
2018-06-19,82.599998,83.620003,82.370003,83.610001,82.233543,9352500
2018-06-20,83.709999,83.820000,83.160004,83.610001,82.233543,7966600
2018-06-21,83.400002,84.550003,82.900002,84.209999,82.823669,8092000
2018-06-22,84.459999,84.849998,84.099998,84.820000,83.423637,10813000
2018-06-25,84.589996,86.599998,84.480003,86.470001,85.046471,15939500
2018-06-26,86.529999,87.050003,85.760002,85.980003,84.564529,10126200
2018-06-27,85.900002,87.489998,85.550003,86.889999,85.459549,10299700
2018-06-28,86.849998,87.290001,85.690002,85.860001,84.446510,8467000
2018-06-29,85.900002,86.199997,85.519997,85.650002,84.239967,8255600
2018-07-02,85.650002,85.940002,83.400002,84.000000,82.617134,8125100
2018-07-03,84.089996,85.050003,84.089996,84.440002,83.049889,4396200
2018-07-05,84.940002,85.580002,84.269997,84.570000,83.177742,5367500
2018-07-06,84.199997,84.870003,83.820000,84.510002,83.118736,5613700
2018-07-09,85.000000,86.470001,84.769997,85.930000,84.515358,6575400
2018-07-10,85.930000,87.330002,85.879997,87.209999,85.774284,6048400
2018-07-11,87.059998,87.150002,86.389999,86.529999,85.105476,5595900
2018-07-12,86.940002,87.410004,86.220001,86.519997,85.095642,4888600
2018-07-13,86.519997,87.989998,86.500000,87.699997,86.256218,6388600
2018-07-16,87.620003,87.720001,86.830002,87.639999,86.197205,4447200
2018-07-17,87.400002,88.699997,87.400002,88.190002,86.738152,5911500
2018-07-18,88.330002,89.190002,87.940002,88.070000,86.620125,5045500
2018-07-19,87.860001,88.480003,87.410004,87.720001,86.275887,4883100
2018-07-20,87.400002,88.169998,87.199997,88.059998,86.610291,4815100
2018-07-23,87.650002,88.150002,87.379997,87.629997,86.187370,4150000
2018-07-24,88.120003,88.500000,87.610001,87.959999,86.511940,5589500
2018-07-25,87.269997,88.019997,87.110001,87.900002,86.452919,5809100
2018-07-26,88.500000,89.430000,88.180000,88.230003,86.777496,6548300
2018-07-27,88.639999,88.879997,88.029999,88.129997,86.679138,4679400
2018-07-30,88.000000,88.940002,87.889999,88.879997,87.416786,6010700
2018-07-31,89.000000,89.660004,88.800003,89.230003,87.761032,6708100
2018-08-01,88.860001,89.129997,87.879997,88.239998,86.787323,5050000
2018-08-02,87.940002,88.839996,87.620003,88.760002,87.298775,4306100
2018-08-03,89.190002,90.279999,89.000000,89.599998,88.124931,5747200
2018-08-06,89.309998,89.980003,89.129997,89.669998,88.193787,4651600
2018-08-07,89.830002,90.360001,89.650002,89.769997,88.292130,4526700
2018-08-08,89.970001,90.230003,89.370003,90.050003,88.567535,5041100
2018-08-09,89.459999,89.629997,88.760002,89.010002,88.053123,4725600
2018-08-10,88.699997,90.370003,88.650002,90.180000,89.210533,8244900
2018-08-13,90.199997,90.540001,89.370003,89.639999,88.676346,5879200
2018-08-14,89.639999,91.120003,89.629997,90.849998,89.873337,5836800
2018-08-15,90.250000,90.410004,89.669998,90.220001,89.250114,8616900
2018-08-16,100.110001,100.209999,97.910004,98.639999,97.579590,42631300
2018-08-17,97.769997,99.669998,97.610001,97.849998,96.798080,16463300
2018-08-20,97.669998,98.290001,95.949997,96.000000,94.967972,12679300
2018-08-21,95.959999,96.360001,95.360001,96.080002,95.047112,10531300
2018-08-22,96.199997,96.849998,95.230003,95.669998,94.641518,7765700
2018-08-23,95.500000,95.860001,95.059998,95.180000,94.156792,6096400
2018-08-24,95.089996,95.660004,94.349998,94.949997,93.929260,8594300
2018-08-27,95.260002,95.610001,94.290001,94.540001,93.523674,7040300
2018-08-28,94.769997,96.349998,94.529999,96.070000,95.037216,9983000
2018-08-29,96.279999,96.830002,95.529999,95.639999,94.611839,7862800
2018-08-30,95.500000,96.500000,95.449997,96.099998,95.066895,7058700
2018-08-31,96.190002,96.440002,95.110001,95.860001,94.829483,6324700
2018-09-04,95.800003,96.269997,95.239998,95.360001,94.334862,8280700
2018-09-05,95.669998,96.830002,95.360001,96.620003,95.581306,9474600
2018-09-06,96.529999,96.720001,96.010002,96.449997,95.413132,6150800
2018-09-07,95.800003,96.480003,95.639999,95.830002,94.799805,6672400
2018-09-10,96.110001,97.190002,96.089996,96.900002,95.858299,8332600
2018-09-11,97.269997,97.660004,96.489998,96.639999,95.601089,6463500
2018-09-12,96.260002,96.739998,95.930000,95.970001,94.938301,5900000
2018-09-13,95.320000,95.620003,94.910004,95.120003,94.097435,7652900
2018-09-14,94.529999,94.839996,94.349998,94.589996,93.573128,6319400
2018-09-17,94.750000,95.480003,94.370003,94.820000,93.800659,5329800
2018-09-18,94.459999,95.589996,94.150002,95.430000,94.404106,6759800
2018-09-19,95.570000,95.889999,94.879997,95.239998,94.216141,5675100
